Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/01/2023,POS 477845XXXXXX3267 FLIPKART NOIDA,477845XXXXXX3267,02/01/2023,919.27,,45331.48
01/01/2023,UPI-THE COFFEE HOUSE-thecoffeehouse@okaxis-UTIB0000789-283222378145-UPI,283222378145,01/01/2023,516.71,,44814.77
01/01/2023,UPI-AIRTEL BROADBAND-airtelbroadband@ybl-YESB0000998-309784711590-BillPayment,309784711590,01/01/2023,1357.01,,43457.76
01/01/2023,UPI-AIRTEL POSTPAID-airtel.postpaid@icici-ICIC0000112-499364911244-BillPayment,499364911244,01/01/2023,637.78,,42819.98
01/01/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-493062811124-UPI,493062811124,01/01/2023,54.42,,42765.56
01/01/2023,UPI-DELHI METRO RAIL CORP-dmrcqr@sbi-SBIN0000556-423525956956-Order Payment,423525956956,01/01/2023,136.21,,42629.35
01/01/2023,UPI-INOX LEISURE-inoxleisure@icici-ICIC0000556-444746305288-Payment,444746305288,01/01/2023,264.16,,42365.19
02/01/2023,POS 400123XXXXXX8361 INDIAN OIL PETROL PUMP MUMBAI,400123XXXXXX8361,03/01/2023,814.32,,41550.87
02/01/2023,NWD-477845XXXXXX4963-HDFC0002345-ATM CASH WDL,477845XXXXXX4963,02/01/2023,3000.00,,38550.87
02/01/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-321869321967-Payment from Phone,321869321967,02/01/2023,164.17,,38386.70
02/01/2023,UPI-DMART READY-dmartready@ybl-YESB0000045-392778016965-Payment from Phone,392778016965,02/01/2023,762.49,,37624.21
02/01/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-260399296817-Payment,260399296817,02/01/2023,22.18,,37602.03
02/01/2023,POS 512345XXXXXX8685 BHARAT PETROLEUM BENGALURU,512345XXXXXX8685,03/01/2023,651.76,,36950.27
02/01/2023,CHQ PAID-100247-HOUSE RENOVATION CONTRACTOR,100585,02/01/2023,7415.38,,29534.89
02/01/2023,UPI-GOOGLE PLAY-googleplay@apl-AIRP0000090-434194995332-Payment from Phone,434194995332,02/01/2023,57.95,,29476.94
03/01/2023,UPI-AMIT NAIR-amit558@ybl-YESB0000789-210969999129-For Dinner,210969999129,03/01/2023,678.85,,28798.09
04/01/2023,UPI-PVR CINEMAS-pvrcinemas@hdfcbank-HDFC0000456-460030336841-Order Payment,460030336841,04/01/2023,410.03,,28388.06
04/01/2023,UPI-RAJESH KUMAR VERMA-rajeshverma78@oksbi-SBIN0001122-273973126878-Rent JAN23,273973126878,04/01/2023,18500.00,,9888.06
04/01/2023,UPI-GUPTA KIRANA STORE-guptakirana@oksbi-SBIN0004521-219145588005-Order Payment,219145588005,04/01/2023,227.59,,9660.47
04/01/2023,UPI-UBER INDIA-uberindia@hdfcbank-HDFC0000333-347454493737-Payment from Phone,347454493737,04/01/2023,78.64,,9581.83
04/01/2023,POS 400123XXXXXX3868 NYKAA BENGALURU,400123XXXXXX3868,05/01/2023,1260.72,,8321.11
05/01/2023,UPI-ANIL GUPTA-anil509@paytm-UTIB0000567-486892179799-Payment,486892179799,05/01/2023,,294.93,8616.04
05/01/2023,ACH D-CULT FITNESS-MEMBERSHIP-CULTFIT571029,CULTFIT717889,05/01/2023,1499.00,,7117.04
05/01/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-292024467823-Payment,292024467823,05/01/2023,42.79,,7074.25
05/01/2023,UPI-TEA STALL-teastall.corner@oksbi-SBIN0009911-234135989386-Payment from Phone,234135989386,05/01/2023,97.00,,6977.25
06/01/2023,UPI-OLA CABS-olacabs@icici-ICIC0000410-242317566702-Payment,242317566702,06/01/2023,199.77,,6777.48
06/01/2023,UPI-MYNTRA-myntra@icici-ICIC0000305-345062367877-Payment,345062367877,06/01/2023,913.59,,5863.89
06/01/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-268868937175-Payment from Phone,268868937175,06/01/2023,13.11,,5850.78
06/01/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-373508235060-Order Payment,373508235060,06/01/2023,242.38,,5608.40
06/01/2023,UPI-UBER INDIA-uberindia@hdfcbank-HDFC0000333-284203241131-Payment,284203241131,06/01/2023,91.57,,5516.83
07/01/2023,ACH D-HDFC LTD-HOMELOAN EMI-HDFCLTD23756669,HDFCLTD23756669,07/01/2023,17500.00,,-11983.17
07/01/2023,ACH D-CAMS NPCI-ICICI PRU MF SIP-12347912,12347912,07/01/2023,6000.00,,-17983.17
07/01/2023,UPI-PRIYA RAO-priya128@ybl-ICIC0000345-291500518198-Loan Return,291500518198,07/01/2023,,109.90,-17873.27
07/01/2023,UPI-RAPIDO-rapido@ybl-YESB0000091-301308769410-UPI,301308769410,07/01/2023,106.50,,-17979.77
07/01/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-397681384659-Order Payment,397681384659,07/01/2023,30.10,,-18009.87
07/01/2023,UPI-RAPIDO-rapido@ybl-YESB0000091-494696725497-Payment from Phone,494696725497,07/01/2023,123.64,,-18133.51
07/01/2023,UPI-ANIL MALHOTRA-anil356@paytm-HDFC0000234-498714963178-Rent Split,498714963178,07/01/2023,,955.04,-17178.47
07/01/2023,UPI-VIKRAM JOSHI-vikram906@okhdfcbank-HDFC0000234-416076758335-Loan Return,416076758335,07/01/2023,188.39,,-17366.86
08/01/2023,ECOM PUR/400123XXXXXX1106/NETFLIX.COM,400123XXXXXX1106,08/01/2023,649.00,,-18015.86
08/01/2023,UPI-NYKAA-nykaa@hdfcbank-HDFC0000212-215629348180-Payment,215629348180,08/01/2023,569.04,,-18584.90
08/01/2023,UPI-UBER INDIA-uberindia@hdfcbank-HDFC0000333-243071536187-Payment from Phone,243071536187,08/01/2023,152.51,,-18737.41
09/01/2023,ACH D-CAMS NPCI-HDFC MF SIP-56781520,56781520,09/01/2023,4000.00,,-22737.41
09/01/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-392675571665-Payment,392675571665,09/01/2023,117.88,,-22855.29
